localized_name,AVG Damage Received,count,winrate,winrate_wilson,sum,min,max,stddev,AVG Damage Dealt,count,winrate,winrate_wilson,sum,min,max,stddev
Naga Siren,20363.588235294118,34,0.470588235294118,0.314512516331114,799776,4352,62528,13755.14605294,23522.823529411765,34,0.470588235294118,0.314512516331114,799776,4352,62528,13755.14605294
Viper,20322.833333333333,6,0.333333333333333,0.0967693325592168,128515,11829,34141,8448.189093922239,21419.166666666667,6,0.333333333333333,0.0967693325592168,128515,11829,34141,8448.189093922239
Monkey King,20320.894736842105,19,0.526315789473684,0.317074825118251,436775,7958,39783,10562.07482386,22988.157894736842,19,0.526315789473684,0.317074825118251,436775,7958,39783,10562.07482386
Kunkka,20262.162162162162,74,0.5,0.388924008482687,1732552,6300,55158,10246.50419281,23412.864864864865,74,0.5,0.388924008482687,1732552,6300,55158,10246.50419281
Spirit Breaker,20189.948051948052,77,0.480519480519481,0.372528505028755,805639,2512,35046,5449.453939483379,10462.844155844156,77,0.480519480519481,0.372528505028755,805639,2512,35046,5449.453939483379
Shadow Fiend,20091.222222222222,18,0.388888888888889,0.203049919269312,470784,8663,51467,11400.02956653,26154.666666666667,18,0.388888888888889,0.203049919269312,470784,8663,51467,11400.02956653
Omniknight,19625.705128205128,78,0.474358974358974,0.367370816948011,524158,1681,19589,3325.441222455950,6719.9743589743589744,78,0.474358974358974,0.367370816948011,524158,1681,19589,3325.441222455950
Earth Spirit,19499.878048780488,41,0.439024390243902,0.298899047721098,541964,5254,30493,5047.658971028538,13218.634146341463,41,0.439024390243902,0.298899047721098,541964,5254,30493,5047.658971028538
Phantom Assassin,19430.500000000000,16,0.5,0.279992376113508,397547,5537,58946,14870.08681758,24846.687500000000,16,0.5,0.279992376113508,397547,5537,58946,14870.08681758
Night Stalker,19218.444444444444,9,0.555555555555556,0.26664734574403,127481,5577,29167,6945.015228765001,14164.555555555556,9,0.555555555555556,0.26664734574403,127481,5577,29167,6945.015228765001
Tidehunter,19065.452054794521,73,0.589041095890411,0.474490151921983,917037,3165,35221,6765.514650850117,12562.150684931507,73,0.589041095890411,0.474490151921983,917037,3165,35221,6765.514650850117
Juggernaut,18887.941176470588,85,0.494117647058824,0.390406533160347,1947243,4283,77322,13221.34163295,22908.741176470588,85,0.494117647058824,0.390406533160347,1947243,4283,77322,13221.34163295
Razor,18820.750000000000,32,0.46875,0.308691299016823,730529,8694,57121,9640.434655856065,22829.031250000000,32,0.46875,0.308691299016823,730529,8694,57121,9640.434655856065
Storm Spirit,18757.267857142857,56,0.482142857142857,0.356680056244267,1615732,7645,78619,17320.72862884,28852.357142857143,56,0.482142857142857,0.356680056244267,1615732,7645,78619,17320.72862884
Earthshaker,18743.051724137931,58,0.46551724137931,0.343318153578267,850366,5279,46107,9048.247838992800,14661.482758620690,58,0.46551724137931,0.343318153578267,850366,5279,46107,9048.247838992800
Batrider,18504.527777777778,36,0.444444444444444,0.295410298765431,494411,2348,30858,6222.977427716817,13733.638888888889,36,0.444444444444444,0.295410298765431,494411,2348,30858,6222.977427716817
Leshrac,18149.134831460674,89,0.449438202247191,0.35032217121119,1906882,7226,73657,12358.06087801,21425.640449438202,89,0.449438202247191,0.35032217121119,1906882,7226,73657,12358.06087801
Spectre,18007.444444444444,18,0.388888888888889,0.203049919269312,501263,5245,76049,19229.83575370,27847.944444444444,18,0.388888888888889,0.203049919269312,501263,5245,76049,19229.83575370
Undying,17945.687500000000,16,0.5625,0.331781956067765,145635,4575,19137,3985.882858602345,9102.1875000000000000,16,0.5625,0.331781956067765,145635,4575,19137,3985.882858602345
Ursa,17810.454545454545,11,0.454545454545455,0.21270957543988,199292,3190,38680,10440.77241744,18117.454545454545,11,0.454545454545455,0.21270957543988,199292,3190,38680,10440.77241744
Treant Protector,17786.840000000000,25,0.68,0.484099137345767,168798,1054,16789,3862.022224172202,6751.9200000000000000,25,0.68,0.484099137345767,168798,1054,16789,3862.022224172202
Windranger,17502.962962962963,27,0.555555555555556,0.373127194795769,617478,8393,70832,13652.31689645,22869.555555555556,27,0.555555555555556,0.373127194795769,617478,8393,70832,13652.31689645
Abaddon,17417.041666666667,24,0.625,0.427096190379071,257637,2350,18032,3973.490178808418,10734.875000000000,24,0.625,0.427096190379071,257637,2350,18032,3973.490178808418
Queen of Pain,17359.479166666667,48,0.5,0.363890989320378,1341095,5217,67814,13616.81234293,27939.479166666667,48,0.5,0.363890989320378,1341095,5217,67814,13616.81234293
Venomancer,17309.444444444444,9,0.333333333333333,0.120581598682743,302073,17321,69373,16468.50170781,33563.666666666667,9,0.333333333333333,0.120581598682743,302073,17321,69373,16468.50170781
Ember Spirit,17096.559701492537,134,0.537313432835821,0.453028721920131,4166061,7481,83380,13934.73699933,31090.007462686567,134,0.537313432835821,0.453028721920131,4166061,7481,83380,13934.73699933
Nyx Assassin,16826.902439024390,41,0.585365853658537,0.433668353568366,368794,995,23740,5067.605344182817,8994.9756097560975610,41,0.585365853658537,0.433668353568366,368794,995,23740,5067.605344182817
Magnus,16235.136363636364,44,0.5,0.358315210959315,270137,1148,14931,3287.363540283168,6139.4772727272727273,44,0.5,0.358315210959315,270137,1148,14931,3287.363540283168
Outworld Devourer,16114.316666666667,60,0.516666666666667,0.393075948508436,1324796,5124,56552,11254.74701937,22079.933333333333,60,0.516666666666667,0.393075948508436,1324796,5124,56552,11254.74701937
Dark Seer,16111.871794871795,39,0.538461538461538,0.385691868217388,620530,4766,35475,8303.997897294568,15911.025641025641,39,0.538461538461538,0.385691868217388,620530,4766,35475,8303.997897294568
Zeus,16029.000000000000,5,0,0,277649,33983,69581,13528.30376285,55529.800000000000,5,0,0,277649,33983,69581,13528.30376285
Dazzle,15732.900000000000,20,0.55,0.3420820083076,308154,5072,33218,7939.383100123480,15407.700000000000,20,0.55,0.3420820083076,308154,5072,33218,7939.383100123480
Luna,15552.250000000000,4,0.25,0.0455860626446362,95110,2635,34130,14388.15365732,23777.500000000000,4,0.25,0.0455860626446362,95110,2635,34130,14388.15365732
Pangolier,15324.729729729730,37,0.405405405405405,0.263462958399401,740894,8738,51901,10545.63113730,20024.162162162162,37,0.405405405405405,0.263462958399401,740894,8738,51901,10545.63113730
Vengeful Spirit,15302.250000000000,8,0.375,0.136841759461521,60299,4896,14361,3151.215136940941,7537.3750000000000000,8,0.375,0.136841759461521,60299,4896,14361,3151.215136940941
Jakiro,15195.027027027027,37,0.351351351351351,0.218254066311009,535683,6913,40725,6847.777901457354,14477.918918918919,37,0.351351351351351,0.218254066311009,535683,6913,40725,6847.777901457354
Puck,15103.400000000000,25,0.36,0.202476564317356,522824,8530,54770,11465.76390274,20912.960000000000,25,0.36,0.202476564317356,522824,8530,54770,11465.76390274
Anti-Mage,14865.769230769231,26,0.5,0.320603063150021,552979,3106,55829,14672.10168224,21268.423076923077,26,0.5,0.320603063150021,552979,3106,55829,14672.10168224
Lina,14839.514285714286,70,0.4,0.293340805735569,1517600,6079,57265,11181.73822789,21680.000000000000,70,0.4,0.293340805735569,1517600,6079,57265,11181.73822789
Riki,14836.800000000000,5,0.6,0.230719932208837,88292,5508,37026,12633.83482162,17658.400000000000,5,0.6,0.230719932208837,88292,5508,37026,12633.83482162
Bane,14805.781250000000,32,0.5625,0.393253020312261,206358,1284,13295,2501.951489144475,6448.6875000000000000,32,0.5625,0.393253020312261,206358,1284,13295,2501.951489144475
Beastmaster,14640.203125000000,64,0.578125,0.456098120525273,822864,2278,38563,6045.013067324750,12857.250000000000,64,0.578125,0.456098120525273,822864,2278,38563,6045.013067324750
