localized_name,AVG Deaths,count,winrate,winrate_wilson,sum,min_d,max_d,stddev,AVG Kills,count,winrate,winrate_wilson,sum,min_k,max_k,stddev,AVG Assists,count,winrate,winrate_wilson,sum,min_a,max_a,stddev
Abaddon,4.875,24,0.625,0.42709619,296,1,25,6.670288871,2.75,24,0.625,0.42709619,296,1,25,6.670288871,12.33333333,24,0.625,0.42709619,296,1,25,6.670288871
Bloodseeker,4.833333333,6,0.5,0.187612807,72,2,23,7.402702209,9.666666667,6,0.5,0.187612807,72,2,23,7.402702209,12,6,0.5,0.187612807,72,2,23,7.402702209
Timbersaw,4.790697674,43,0.465116279,0.325108263,412,1,25,5.985031162,5.627906977,43,0.465116279,0.325108263,412,1,25,5.985031162,9.581395349,43,0.465116279,0.325108263,412,1,25,5.985031162
Necrophos,4.785714286,14,0.357142857,0.163444907,110,0,16,4.801556524,5.214285714,14,0.357142857,0.163444907,110,0,16,4.801556524,7.857142857,14,0.357142857,0.163444907,110,0,16,4.801556524
Dark Seer,4.743589744,39,0.538461538,0.385691868,567,0,39,8.74746927,3.692307692,39,0.538461538,0.385691868,567,0,39,8.74746927,14.53846154,39,0.538461538,0.385691868,567,0,39,8.74746927
Monkey King,4.736842105,19,0.526315789,0.317074825,172,2,20,4.672302361,7.947368421,19,0.526315789,0.317074825,172,2,20,4.672302361,9.052631579,19,0.526315789,0.317074825,172,2,20,4.672302361
Tidehunter,4.602739726,73,0.589041096,0.474490152,973,1,37,7.889963376,2.698630137,73,0.589041096,0.474490152,973,1,37,7.889963376,13.32876712,73,0.589041096,0.474490152,973,1,37,7.889963376
Io,4.586956522,46,0.630434783,0.485998331,621,0,34,7.482572344,2.369565217,46,0.630434783,0.485998331,621,0,34,7.482572344,13.5,46,0.630434783,0.485998331,621,0,34,7.482572344
Dazzle,4.55,20,0.55,0.342082008,239,0,26,7.029823686,3.45,20,0.55,0.342082008,239,0,26,7.029823686,11.95,20,0.55,0.342082008,239,0,26,7.029823686
Beastmaster,4.515625,64,0.578125,0.456098121,835,0,22,6.388058521,3.4375,64,0.578125,0.456098121,835,0,22,6.388058521,13.046875,64,0.578125,0.456098121,835,0,22,6.388058521
Centaur Warrunner,4.504273504,117,0.495726496,0.406716224,1568,1,32,7.020978207,3.615384615,117,0.495726496,0.406716224,1568,1,32,7.020978207,13.4017094,117,0.495726496,0.406716224,1568,1,32,7.020978207
Dark Willow,4.4375,48,0.604166667,0.463101546,635,3,28,5.806231368,3.854166667,48,0.604166667,0.463101546,635,3,28,5.806231368,13.22916667,48,0.604166667,0.463101546,635,3,28,5.806231368
Chen,4.387096774,62,0.612903226,0.488476162,907,1,27,6.765955934,1.5,62,0.612903226,0.488476162,907,1,27,6.765955934,14.62903226,62,0.612903226,0.488476162,907,1,27,6.765955934
Death Prophet,4.324324324,74,0.472972973,0.363385178,651,0,21,5.25247425,6.783783784,74,0.472972973,0.363385178,651,0,21,5.25247425,8.797297297,74,0.472972973,0.363385178,651,0,21,5.25247425
Storm Spirit,4.321428571,56,0.482142857,0.356680056,601,2,24,5.150431832,8.375,56,0.482142857,0.356680056,601,2,24,5.150431832,10.73214286,56,0.482142857,0.356680056,601,2,24,5.150431832
Visage,4.2,5,0.6,0.230719932,46,2,17,6.797058187,3.6,5,0.6,0.230719932,46,2,17,6.797058187,9.2,5,0.6,0.230719932,46,2,17,6.797058187
Weaver,4.166666667,12,0.333333333,0.13811784,108,2,23,6.96745682,7.583333333,12,0.333333333,0.13811784,108,2,23,6.96745682,9,12,0.333333333,0.13811784,108,2,23,6.96745682
Underlord,4.166666667,6,0.5,0.187612807,84,2,20,6.603029608,3.833333333,6,0.5,0.187612807,84,2,20,6.603029608,14,6,0.5,0.187612807,84,2,20,6.603029608
Omniknight,4.166666667,78,0.474358974,0.367370817,792,0,22,5.58540985,1.679487179,78,0.474358974,0.367370817,792,0,22,5.58540985,10.15384615,78,0.474358974,0.367370817,792,0,22,5.58540985
Razor,4.09375,32,0.46875,0.308691299,306,2,22,5.363782368,7.0625,32,0.46875,0.308691299,306,2,22,5.363782368,9.5625,32,0.46875,0.308691299,306,2,22,5.363782368
Invoker,4.09375,32,0.5,0.336306143,373,2,24,5.568398015,4.78125,32,0.5,0.336306143,373,2,24,5.568398015,11.65625,32,0.5,0.336306143,373,2,24,5.568398015
Enigma,4.092307692,65,0.523076923,0.403794204,846,0,28,6.653223626,2.8,65,0.523076923,0.403794204,846,0,28,6.653223626,13.01538462,65,0.523076923,0.403794204,846,0,28,6.653223626
Windranger,4.074074074,27,0.555555556,0.373127195,292,2,24,6.013043751,7.62962963,27,0.555555556,0.373127195,292,2,24,6.013043751,10.81481481,27,0.555555556,0.373127195,292,2,24,6.013043751
Pugna,4,19,0.473684211,0.273295055,185,1,19,4.407595783,6.052631579,19,0.473684211,0.273295055,185,1,19,4.407595783,9.736842105,19,0.473684211,0.273295055,185,1,19,4.407595783
Brewmaster,3.875,8,0.125,0.022416909,54,2,14,4.432026302,2.25,8,0.125,0.022416909,54,2,14,4.432026302,6.75,8,0.125,0.022416909,54,2,14,4.432026302
Queen of Pain,3.854166667,48,0.5,0.363890989,454,1,22,5.379070288,8.229166667,48,0.5,0.363890989,454,1,22,5.379070288,9.458333333,48,0.5,0.363890989,454,1,22,5.379070288
Templar Assassin,3.818181818,33,0.666666667,0.496075818,312,0,17,4.366712931,9.333333333,33,0.666666667,0.496075818,312,0,17,4.366712931,9.454545455,33,0.666666667,0.496075818,312,0,17,4.366712931
Gyrocopter,3.759493671,79,0.594936709,0.484729528,829,1,24,5.401503631,8.582278481,79,0.594936709,0.484729528,829,1,24,5.401503631,10.49367089,79,0.594936709,0.484729528,829,1,24,5.401503631
Shadow Fiend,3.722222222,18,0.388888889,0.203049919,155,1,17,4.50018155,8.333333333,18,0.388888889,0.203049919,155,1,17,4.50018155,8.611111111,18,0.388888889,0.203049919,155,1,17,4.50018155
Spectre,3.722222222,18,0.388888889,0.203049919,181,0,22,6.457756141,5.722222222,18,0.388888889,0.203049919,181,0,22,6.457756141,10.05555556,18,0.388888889,0.203049919,181,0,22,6.457756141
Kunkka,3.702702703,74,0.5,0.388924008,870,2,29,5.985852752,4.986486486,74,0.5,0.388924008,870,2,29,5.985852752,11.75675676,74,0.5,0.388924008,870,2,29,5.985852752
Ember Spirit,3.671641791,134,0.537313433,0.453028722,1474,0,31,6.1619741,7.902985075,134,0.537313433,0.453028722,1474,0,31,6.1619741,11,134,0.537313433,0.453028722,1474,0,31,6.1619741
Chaos Knight,3.6,5,0.6,0.230719932,41,4,12,3.346640106,8,5,0.6,0.230719932,41,4,12,3.346640106,8.2,5,0.6,0.230719932,41,4,12,3.346640106
Outworld Devourer,3.6,60,0.516666667,0.393075949,402,0,20,4.105804077,7.166666667,60,0.516666667,0.393075949,402,0,20,4.105804077,6.7,60,0.516666667,0.393075949,402,0,20,4.105804077
Faceless Void,3.567567568,37,0.513513514,0.358946372,359,2,17,4.313189493,8,37,0.513513514,0.358946372,359,2,17,4.313189493,9.702702703,37,0.513513514,0.358946372,359,2,17,4.313189493
Meepo,3.555555556,9,0.666666667,0.354197347,40,1,7,2.351122663,9.777777778,9,0.666666667,0.354197347,40,1,7,2.351122663,4.444444444,9,0.666666667,0.354197347,40,1,7,2.351122663
Luna,3.5,4,0.25,0.045586063,28,0,12,5.597618541,7.25,4,0.25,0.045586063,28,0,12,5.597618541,7,4,0.25,0.045586063,28,0,12,5.597618541
Lycan,3.5,2,0,3.80E-17,5,2,3,0.707106781,3.5,2,0,3.80E-17,5,2,3,0.707106781,2.5,2,0,3.80E-17,5,2,3,0.707106781
Troll Warlord,3.479166667,48,0.4375,0.307010546,402,0,25,4.787505902,6.458333333,48,0.4375,0.307010546,402,0,25,4.787505902,8.375,48,0.4375,0.307010546,402,0,25,4.787505902
Ursa,3.454545455,11,0.454545455,0.212709575,67,0,24,6.744694885,8.363636364,11,0.454545455,0.212709575,67,0,24,6.744694885,6.090909091,11,0.454545455,0.212709575,67,0,24,6.744694885
Lone Druid,3.454545455,11,0.181818182,0.051366601,65,0,17,5.3935989,3.181818182,11,0.181818182,0.051366601,65,0,17,5.3935989,5.909090909,11,0.181818182,0.051366601,65,0,17,5.3935989
Night Stalker,3.444444444,9,0.555555556,0.266647346,115,2,27,8.885068624,5.777777778,9,0.555555556,0.266647346,115,2,27,8.885068624,12.77777778,9,0.555555556,0.266647346,115,2,27,8.885068624
Puck,3.44,25,0.36,0.202476564,276,1,27,6.973043334,6.28,25,0.36,0.202476564,276,1,27,6.973043334,11.04,25,0.36,0.202476564,276,1,27,6.973043334
Tinker,3.363636364,11,0.454545455,0.212709575,94,1,21,6.298628999,8,11,0.454545455,0.212709575,94,1,21,6.298628999,8.545454545,11,0.454545455,0.212709575,94,1,21,6.298628999
